id,label
6,2
13,2
14,1
17,1
20,1
21,2
22,2
25,2
28,2
31,2
32,2
34,1
37,1
38,1
44,1
45,1
59,1
60,1
61,1
66,2
67,2
68,2
69,1
71,2
73,1
74,2
75,2
77,1
78,2
79,2
82,2
83,2
86,1
88,2
89,2
90,1
92,1
95,2
100,1
101,2
103,1
104,2
107,2
111,1
112,1
116,1
117,2
118,2
119,2
120,1
121,2
122,2
123,1
128,2
130,2
137,2
141,2
145,1
149,1
155,1
157,2
158,2
159,1
160,1
161,2
163,2
164,1
168,1
170,1
171,2
172,2
174,1
176,2
178,2
179,1
181,2
182,1
186,1
192,2
195,2
200,2
209,2
215,2
223,2
226,2
227,2
228,2
233,1
234,2
236,2
243,2
245,1
246,2
248,2
249,2
250,1
255,2
257,1
262,2
263,2
272,1
273,1
275,1
276,1
278,2
284,1
287,2
288,2
289,2
293,1
294,1
295,1
298,2
299,2
302,1
311,2
312,2
318,1
319,2
321,2
323,1
325,1
326,1
328,1
329,1
331,1
333,1
334,2
335,2
338,2
341,2
342,2
343,2
350,1
354,2
363,1
364,2
367,2
368,1
373,1
375,1
378,2
379,2
382,1
384,1
386,2
387,2
388,1
390,1
392,1
393,2
402,2
403,1
407,2
408,1
412,2
413,2
416,2
419,1
420,2
422,1
428,2
430,2
439,1
444,1
449,1
450,2
451,1
452,2
453,2
454,1
457,2
460,2
469,2
473,1
477,2
478,2
479,1
485,2
489,2
490,1
491,1
497,1
499,2
502,2
507,2
508,1
509,1
511,1
514,2
516,1
518,1
519,2
520,2
521,2
523,1
525,1
530,1
536,1
537,2
539,2
544,1
546,1
550,1
551,1
553,2
556,2
559,1
560,1
563,1
568,2
570,2
572,2
573,1
577,1
585,1
591,2
595,1
596,2
600,1
601,1
609,1
612,1
622,2
625,1
629,1
634,1
635,2
636,2
645,2
647,1
648,2
650,2
651,2
656,1
657,2
662,1
663,2
668,1
673,2
675,1
676,1
678,1
679,1
680,1
681,1
688,1
692,1
694,2
695,1
697,1
705,2
706,2
708,2
712,1
715,1
716,1
717,2
719,1
720,1
725,1
726,1
730,1
735,1
736,2
737,2
739,1
744,1
745,2
747,2
752,2
753,1
754,1
761,1
762,2
763,1
764,2
765,2
767,1
768,1
769,2
771,1
778,1
784,2
786,1
788,2
789,2
791,2
792,2
795,2
796,1
800,1
801,2
803,2
805,1
813,2
816,1
819,1
824,1
829,1
831,1
833,2
834,1
836,1
838,1
843,1
844,1
848,2
852,1
853,1
855,1
857,2
858,1
859,2
862,1
864,1
865,2
868,1
870,1
871,1
872,2
873,2
874,1
875,2
877,1
879,1
882,1
886,1
887,1
892,1
894,2
900,2
904,2
909,2
910,1
914,1
915,1
918,1
919,1
920,1
925,2
928,2
930,1
932,1
933,2
939,1
941,1
942,2
944,1
946,1
950,1
952,1
957,2
958,1
959,1
961,1
963,2
965,2
966,1
969,2
976,1
982,1
983,1
984,2
986,2
987,2
989,1
993,2
996,1
1004,2
1005,1
1006,2
1007,2
1011,1
1012,2
1014,2
1015,1
1016,2
1019,1
1021,1
1022,2
1023,2
1026,1
1030,2
1031,1
1032,2
1033,1
1035,2
1037,2
1038,1
1040,2
1043,1
1046,2
1050,1
1052,1
1053,1
1054,1
1056,1
1063,1
1065,1
1068,2
1069,2
1070,1
1072,2
1073,1
1076,2
1089,1
1093,2
1096,1
1101,2
1107,1
1108,2
1111,1
1114,1
1119,2
1123,2
1126,1
1127,2
1128,2
1132,2
1136,1
1142,2
1149,2
1151,2
1159,1
1160,2
1162,2
1163,2
1164,1
1165,2
1170,2
1171,1
1174,1
1175,1
1178,2
1182,2
1185,1
1186,2
1187,2
1189,1
1193,2
1198,1
1199,1
1204,2
1205,1
1206,2
1208,1
1209,2
1211,2
1213,1
1214,2
1215,1
1216,1
1219,1
1220,1
1226,1
1227,2
1231,2
1232,2
1235,2
1242,1
1243,1
1245,1
1246,1
1250,2
1251,1
1255,1
1256,2
1265,1
1268,2
1274,2
1275,2
1277,1
1280,1
1283,2
1286,2
1289,1
1292,2
1299,1
1301,1
1304,1
1305,1
1311,2
1320,2
1322,2
1323,2
1325,2
1334,1
1337,1
1339,1
1341,2
1346,1
1348,2
1349,1
1354,1
1355,1
1357,1
1360,2
1362,2
1363,1
1366,1
1368,1
1369,2
1372,1
1378,1
1382,1
1384,1
1386,1
1389,1
1390,2
1394,1
1395,1
1396,2
1399,2
1400,1
1406,2
1408,1
1410,2
1414,2
1416,2
1420,1
1424,2
1425,2
1427,1
